2001.03.21 17:15 B E:\Arthur\Bizland21march2001\Groupie\Art+Rat+Face.jpg --> thescars.50megs.com /Groupie Art+Rat+Face.jpg
2001.03.21 17:29 B E:\Arthur\Bizland21march2001\Groupie\LastWeeksGroupie.html --> thescars.50megs.com /Groupie LastWeeksGroupie.html
2002.05.15 11:29 B H:\ArthurX_4May2002_Thescars.com\www.arthurx.org\Groupie\Art+Rat+Face.jpg --> www.thescars.com /www.arthurx.org/Groupie Art+Rat+Face.jpg
2002.05.15 11:29 B H:\ArthurX_4May2002_Thescars.com\www.arthurx.org\Groupie\CINDYBEACHBREST.jpg --> www.thescars.com /www.arthurx.org/Groupie CINDYBEACHBREST.jpg
2002.05.15 11:29 B H:\ArthurX_4May2002_Thescars.com\www.arthurx.org\Groupie\CindybeachButterfly.jpg --> www.thescars.com /www.arthurx.org/Groupie CindybeachButterfly.jpg
2002.05.15 11:29 B H:\ArthurX_4May2002_Thescars.com\www.arthurx.org\Groupie\CINDYBLUE.jpg --> www.thescars.com /www.arthurx.org/Groupie CINDYBLUE.jpg
2002.05.15 11:29 B H:\ArthurX_4May2002_Thescars.com\www.arthurx.org\Groupie\CindyClosedEyes.jpg --> www.thescars.com /www.arthurx.org/Groupie CindyClosedEyes.jpg
2002.05.15 11:29 B H:\ArthurX_4May2002_Thescars.com\www.arthurx.org\Groupie\CindyHippiePurpleTits.jpg --> www.thescars.com /www.arthurx.org/Groupie CindyHippiePurpleTits.jpg
2002.05.15 11:29 B H:\ArthurX_4May2002_Thescars.com\www.arthurx.org\Groupie\CINDYSHORTJEANS.jpg --> www.thescars.com /www.arthurx.org/Groupie CINDYSHORTJEANS.jpg
2002.05.15 11:30 B H:\ArthurX_4May2002_Thescars.com\www.arthurx.org\Groupie\ForgotHerName.html --> www.thescars.com /www.arthurx.org/Groupie ForgotHerName.html
2002.05.15 11:30 B H:\ArthurX_4May2002_Thescars.com\www.arthurx.org\Groupie\GroupieThisWeeks.html --> www.thescars.com /www.arthurx.org/Groupie GroupieThisWeeks.html
2002.05.15 11:30 B H:\ArthurX_4May2002_Thescars.com\www.arthurx.org\Groupie\HillaryFlowers.jpg --> www.thescars.com /www.arthurx.org/Groupie HillaryFlowers.jpg
2002.05.15 11:30 B H:\ArthurX_4May2002_Thescars.com\www.arthurx.org\Groupie\HillaryGreen.jpg --> www.thescars.com /www.arthurx.org/Groupie HillaryGreen.jpg
2002.05.15 11:30 B H:\ArthurX_4May2002_Thescars.com\www.arthurx.org\Groupie\HillaryJack.jpg --> www.thescars.com /www.arthurx.org/Groupie HillaryJack.jpg
2002.05.15 11:30 B H:\ArthurX_4May2002_Thescars.com\www.arthurx.org\Groupie\LastWeeksGroupie.html --> www.thescars.com /www.arthurx.org/Groupie LastWeeksGroupie.html
2002.05.15 11:30 B H:\ArthurX_4May2002_Thescars.com\www.arthurx.org\Groupie\PAMANSEA.jpg --> www.thescars.com /www.arthurx.org/Groupie PAMANSEA.jpg
2002.05.15 11:30 B H:\ArthurX_4May2002_Thescars.com\www.arthurx.org\Groupie\PanAmBB.jpg --> www.thescars.com /www.arthurx.org/Groupie PanAmBB.jpg
2002.05.15 11:30 B H:\ArthurX_4May2002_Thescars.com\www.arthurx.org\Groupie\RadpaterLate.jpg --> www.thescars.com /www.arthurx.org/Groupie RadpaterLate.jpg
2002.05.15 11:30 B H:\ArthurX_4May2002_Thescars.com\www.arthurx.org\Groupie\SubmitNewGroupie.html --> www.thescars.com /www.arthurx.org/Groupie SubmitNewGroupie.html
2002.05.15 11:30 B H:\ArthurX_4May2002_Thescars.com\www.arthurx.org\Groupie\TopMonitor.swf --> www.thescars.com /www.arthurx.org/Groupie TopMonitor.swf
2002.05.15 11:30 B H:\ArthurX_4May2002_Thescars.com\www.arthurx.org\Groupie\WS_FTP.LOG --> www.thescars.com /www.arthurx.org/Groupie WS_FTP.LOG
